name,category_list,funding_total_usd,status,country_code,state_code,city,funding_rounds,Investors,Number_of_Investors,Acquirer,Acquirer_Category,Acquirer_Country,Acquirer_State,Acquirer_City,Acquired_Price,Acquired Currency,county,founded_at,Coordinates
Elementum,Software,67,operating,USA,CA,Mountain View,2,AME Cloud Ventures:50000000|Flextronics International:67000000.0|Lightspeed Venture Partners:50000000|Aaron Levie:50000000|Dave Duffield:50000000|Farzad (Zod) Nazem:50000000|Jerry Yang:50000000|Mike Frandsen:50000000,8,-,-,-,-,-,-,-,Santa Clara,2012,38.970411:-77.387108
ELENZA,Health,27.329746,operating,USA,VA,Roanoke,2,The Carlyle Group:24000000|Delphi Ventures:24000000|ITOCHU Corporation:24000000,3,-,-,-,-,-,-,-,Roanoke City,2008,36.227712:-115.264045
Elepath,Software,0.025,operating,USA,CA,San Francisco,2,Social Starts:25000,1,-,-,-,-,-,-,-,San Francisco,2012,45.536951:-122.649971
ELERTS,Software,0.45,operating,USA,MA,Weymouth,2,Unnamed angel investors:225000,1,-,-,-,-,-,-,-,Norfolk,2010,37.399364:-122.079517
Eleutian Technology,Education,10,operating,USA,WY,Ten Sleep,1,Cheyenne Capital:10000000,1,-,-,-,-,-,-,-,Washakie,2006,37.27783:-79.958472
Elevance Renewable Sciences,Technology,294,operating,USA,IL,Woodridge,4,Elevance Lacustrine:104000000|NAXOS Capital Partners:100000000|Total Energy Ventures:204000000.0|TPG Biotech:100000000|TPG Growth:140000000.0,5,-,-,-,-,-,-,-,Dupage,2007,37.727239:-123.032229
Elevate,Entertainment,0.5,operating,USA,CA,San Clemente,1,Victory Park Capital:70000000,1,-,-,-,-,-,-,-,Orange,2008,-1
Elevate Digital,Software,12.15,operating,USA,IL,Chicago,5,Advantage Capital Partners:6700000.0|Metropolitan Capital:2700000|Partners Path Investments:1500000|SFX Entertainment:3000000,4,-,-,-,-,-,-,-,Cook,2011,44.035008:-107.448324
Elevate Research,Software,0.5,operating,USA,MN,Minnesota City,1,Matchstick Ventures:500000|Rally Ventures:500000|Mark Usem:500000|Rob Weber:500000,4,-,-,-,-,-,-,-,Winona,2014,41.73753:-88.044607
Elevation Pharmaceuticals,Technology,89.400001,acquired,USA,CA,San Diego,4,Canaan Partners:77000000.0|Care Capital:77000000.0|Mesa Verde Venture Partners:77000000.0|Novo Ventures:30000000|TPG Biotech:30000000|TPG Growth:47000000.0,6,Sunovion Pharmaceuticals,Biotechnology,USA,MA,Marlborough,430000000,USD,San Diego,2007,33.449144:-117.613119
Eleven Biotherapeutics,Technology,75,ipo,USA,MA,Cambridge,3,Flagship Ventures:55000000.0|JAFCO Asia:20000000|Third Rock Ventures:55000000.0,3,-,-,-,-,-,-,-,Middlesex,2010,41.837551:-87.681844
Eleven James,Software,8.123791,operating,USA,NY,New York,2,BoxGroup:1400000|WGI Group:1400000|Brian Distelburger:1400000|Ed Moran:1400000|Jason Saltzman:1400000|Ken Austin:1400000|Kenny Dichter:1400000,7,-,-,-,-,-,-,-,New York,2013,44.092286:-91.74991
Eli Nutrition,Manufacturing,0.13,operating,USA,CT,New Haven,2,Bulldog Innovation Group (BIG):100000|Connecticut Innovations:100000|YEI Innovation Fund:100000,3,-,-,-,-,-,-,-,New Haven,2013,32.8153:-117.134993
elicit,Software,2.025,operating,USA,IL,Chicago,3,Chicago Ventures:525000|ff Venture Capital:2025000.0|First Round:2025000.0|Greycroft Partners:2025000.0|Lazerow Ventures:2025000.0,5,-,-,-,-,-,-,-,Cook,2011,42.375967:-71.118275
Eligible,Software,2.55,operating,USA,NY,Brooklyn,1,Deerfield:2550000|Fresco Capital:2550000|MetaLab:2550000|Novatron Ltd.:2550000|QueensBridge Venture Partners:2550000|RTA Capital:2550000|Y Combinator:2550000|Dr. E. Bora Uygun:2550000|Esther Dyson:2550000|Michael Liou:2550000|Raj Sandhu:2550000|Tytus Michalski:2550000,12,-,-,-,-,-,-,-,Kings,2011,40.664274:-73.9385
Elite Form,Sports,1,operating,USA,NE,Lincoln,1,Nebraska Global:1000000,1,-,-,-,-,-,-,-,Lancaster,2011,41.310809:-72.924953
Elixir Medical,Health,5.2997,operating,USA,CA,Sunnyvale,1,Invus:5299700,1,-,-,-,-,-,-,-,Santa Clara,2004,41.837551:-87.681844
Elixir Pharmaceuticals,Technology,58,closed,USA,MA,Cambridge,2,ARCH Venture Partners:58000000.0|CDIB BioScience Ventures:46000000|Hercules Technology Growth Capital:46000000|Icon Ventures:46000000|MPM Capital:58000000.0|Omega Funds:12000000|Oxford Bioscience Partners:58000000.0|Physic Ventures:12000000|YFY Biotech Management Company:46000000,9,-,-,-,-,-,-,-,Middlesex,1999,-1
Eliza Corporation,Health,105.76923,operating,USA,MA,Beverly,1,Parthenon Capital Partners:105769230,1,-,-,-,-,-,-,-,Essex,1983,40.808957:-96.680354
Ellacoya Networks,Software,51.5,operating,USA,NH,Merrimack,3,Atlas Venture:26500000.0|BCE Capital:13000000|Bessemer Venture Partners:25000000|Canaan Partners:26500000.0|Centennial Ventures:25000000|Flagship Ventures:13500000|Goldman Sachs:25000000|Lightspeed Venture Partners:51500000.0|Presidio Ventures:13000000|Summerhill Venture Partners:13500000,10,-,-,-,-,-,-,-,Hillsborough,1998,37.385784:-122.026323
Ellevation,Software,5.85,operating,USA,MA,Boston,3,NewSchools Venture Fund:5850000.0|Rethink Education:2350000|Adam Miller:5850000.0|Alex Saltonstall:2000000|Chris Gabrieli:4350000.0|Eileen Rudden:5850000.0|Josh Kirkpatrick:2000000|Josh Tolkoff:5850000.0|Niko Klein:2350000|Rick Burnes:5850000.0|Steve Kupfer:2000000,11,-,-,-,-,-,-,-,Suffolk,2006,42.375967:-71.118275
Ellie,Finance,2,operating,USA,CA,Santa Monica,1,Blumberg Capital:2000000|Rustic Canyon Partners:2000000|Trinity Ventures:2000000|White Star Capital:2000000,4,-,-,-,-,-,-,-,Los Angeles,2012,42.558498:-70.843822
"Ello, Inc.",Software,10.935,operating,USA,VT,Burlington,3,Techstars Ventures:10500000.0|Foundry Group:10500000.0|FreshTracks Capital:10935000.0,3,-,-,-,-,-,-,-,Chittenden,2013,-1
Eloqua,Marketing,35.8,acquired,USA,VA,Vienna,2,Bay Partners:35800000.0|Bessemer Venture Partners:23000000|JMI Equity:35800000.0,3,Oracle Corporation,Enterprise Software|Hardware|Information Services|Information Technology|Software,USA,CA,Redwood Shores,871000000,USD,Fairfax,1999,42.33196:-71.020173
Eloquii,Services,6,operating,USA,NY,New York,2,Basset Investment Group:6000000|Female Founders Fund:6000000|Greycroft Partners:6000000|HDS Capital:6000000|Fabrice Grinda:6000000,5,-,-,-,-,-,-,-,New York,2014,34.023413:-118.481666
Elsen Inc.,Finance,0.5,operating,USA,MA,Boston,1,Atlas Venture:500000|Hyperplane Venture Capital:500000|Bret Siarkowski:500000,3,-,-,-,-,-,-,-,Suffolk,2013,44.49199:-73.239362
ELVPHD,Finance,0.25,operating,USA,NE,Wisner,1,AstraZeneca:250000,1,-,-,-,-,-,-,-,Cuming,2002,38.899158:-77.260463
eData Source,Marketing,2.052167,operating,USA,NY,New York,2,TWJ Capital:1500000,1,-,-,-,-,-,-,-,New York,2003,40.664274:-73.9385
Emailage,Software,3.8,operating,USA,AZ,Chandler,1,Double M Partners:3800000|Felicis Ventures:3800000|Mucker Capital:3800000|Chung-Man Tam:3800000|Deep Nishar:3800000|Farzad (Zod) Nazem:3800000|Gokul Rajaram:3800000|Patrick Eggen:3800000,8,-,-,-,-,-,-,-,Maricopa,2012,42.33196:-71.020173
eMarketer,Marketing,25,operating,USA,NY,New York,1,Stripes Group:25000000,1,-,-,-,-,-,-,-,New York,1996,41.988046:-96.91392
eMazeMe,Software,0.225,operating,USA,IL,Chicago,1,Brian Pigott:225000|Chris Pauly:225000,2,-,-,-,-,-,-,-,Cook,2011,40.664274:-73.9385
Embarke (now known as Email Copilot),Software,1.5,operating,USA,CA,San Diego,3,Anthem Venture Partners:1250000|Microsoft Ventures:250000|Promus Ventures:1250000|Right Side Capital Management:1250000|Social Leverage:1250000,5,-,-,-,-,-,-,-,San Diego,2011,33.282874:-111.854943
Embedly,Software,1.02,operating,USA,MA,Boston,4,Betaworks:700000.0|Lowercase Capital:250000|Salesforce Ventures:320000|Social Leverage:450000|SV Angel:250000|Venture51:450000|Adam Schwartz:450000|Chris Sacca:450000|Howard Lindzon:450000,9,-,-,-,-,-,-,-,Suffolk,2010,40.664274:-73.9385
Ember,Mobile,121,acquired,USA,MA,Boston,5,Chevron Technology Ventures:12000000|ePlanet Capital:20000000|Draper Fisher Jurvetson (DFJ):35000000.0|GrandBanks Capital:32000000.0|NAV.VC:20000000|Polaris Partners:35000000.0|RRE Ventures:32000000.0|Stata Venture Partners:23000000.0|Vulcan Capital:12000000|Wellington Partners:5000000|Meriten Investment Management:12000000|Robert Metcalfe:3000000,12,Silicon Laboratories,Hardware + Software,USA,AL,Huntsville,72000000,USD,Suffolk,2001,41.837551:-87.681844
Embera NeuroTherapeutics,Technology,6.99,operating,USA,MA,Sudbury,4,HRA Pharma:2000000|Louisiana Fund I:4500000|Louisiana Ventures:4500000|Themelios Ventures:4500000,4,-,-,-,-,-,-,-,Middlesex,2005,32.8153:-117.134993
Embrace Pet Insurance,Finance,5.3,operating,USA,OH,Beachwood,5,JumpStart Inc.:800000.0,1,-,-,-,-,-,-,-,Cuyahoga,2005,42.33196:-71.020173
Embue,Software,1.75,operating,USA,MA,Boston,4,Massachusetts Clean Energy Center:150000|US Department of Energy:1350000.0,2,-,-,-,-,-,-,-,Suffolk,2007,42.33196:-71.020173
eMerge Americas,Technology,1.5,operating,USA,FL,Miami Springs,1,John S:1500000|James L. Knight:1500000,2,-,-,-,-,-,-,-,Miami-dade,2013,-1
Emergent Payments,Games,43.1,operating,USA,NY,New York,5,CRV:32500000.0|FirstMark Capital:30800000.0|Highbridge Capital Management:6800000|Kodiak Venture Partners:39300000.0|Rustic Canyon Partners:6800000,5,-,-,-,-,-,-,-,New York,2007,41.476264:-81.503255
EmergentDetection,Sports,0.2779,closed,USA,WA,Seattle,2,US Government:229900|Unnamed angel investors:48000,2,-,-,-,-,-,-,-,King,2010,42.33196:-71.020173
Emerging Threats,Software,2.4,acquired,USA,IN,Lafayette,3,Elevate Ventures:1000000|HALO Capital Group:1000000,2,Proofpoint,Enterprise Software|Software|Technology,USA,CA,Sunnyvale,40000000,USD,Tippecanoe,2003,25.819729:-80.289988
Emerging Travel,Travel,15.8,operating,USA,MA,Cambridge,1,General Catalyst Partners:15800000,1,-,-,-,-,-,-,-,Middlesex,2010,40.664274:-73.9385
Emida,Software,12.5,operating,USA,CA,Foothill Ranch,2,GRP Partners:5000000|Richard L. Scott Investments:12500000.0|Stone Canyon Venture Partners:7500000|Upfront Ventures:7500000,4,-,-,-,-,-,-,-,Orange,2001,47.620499:-122.350876
emids,Software,13.3,operating,USA,TN,Nashville,1,Baird Capital:13300000|Council Capital:13300000,2,-,-,-,-,-,-,-,Davidson,1999,40.399425:-86.861699
eMinor,Software,5,closed,USA,NC,Durham,2,ETF Venture Funds:3000000|Novak Biddle Venture Partners:5000000.0|SeventySix Capital:3000000|Southern Capitol Ventures:5000000.0,4,-,-,-,-,-,-,-,Durham,2006,42.375967:-71.118275
Emissary,Marketing,2,operating,USA,NY,New York,1,Boldstart Ventures:2000000|Canaan Partners:2000000|eBay:2000000|Google Ventures:2000000|Mesa Ventures:2000000|Neu Venture Capital:2000000|The New York Times:2000000|NextView Ventures:2000000,8,-,-,-,-,-,-,-,New York,2013,-1
Emma,Services,5,operating,USA,TN,Nashville,1,Nashville Capital Network:5000000|Square 1 Bank:5000000,2,-,-,-,-,-,-,-,Davidson,2003,36.1718:-86.785002
"eMMs, Inc.",Software,2,closed,USA,CA,Redwood City,1,FortKnoxx Fortress Technology:2000000,1,-,-,-,-,-,-,-,San Mateo,2014,35.980964:-78.905647
Tillster,Software,100.300177,operating,USA,CA,San Diego,10,BYU Cougar Capital:14500000,1,-,-,-,-,-,-,-,San Diego,2006,40.664274:-73.9385
Emory University,Education,90.1,operating,USA,GA,Atlanta,12,Dalai Lama Foundation:2000000.0|National Institutes of Health:8500000|Wayne Rollins Foundation:10000000,3,-,-,-,-,-,-,-,Fulton,2014,36.1718:-86.785002
EMOSpeech,Business,0.490512,operating,USA,FL,Miami,6,Wayra:240512.0,1,-,-,-,-,-,-,-,Miami-dade,2013,37.515274:-122.213672
Emotient,Software,6,operating,USA,CA,San Diego,1,Intel Capital:6000000|Seth Neiman:6000000,2,-,-,-,-,-,-,-,San Diego,2012,32.8153:-117.134993
eMotion,Software,2.5,acquired,USA,CA,San Francisco,1,Constellation Ventures:2500000|Crossbow Ventures:2500000|Off Stump Ventures:2500000|VantagePoint Capital Partners:2500000|Wasserstein & Co.:2500000,5,OpenText Corporation,Information Services|Information Technology|Software,CAN,ON,Waterloo,3600000,USD,San Francisco,2000,33.762909:-84.422675
Emotiv,Services,0.12,operating,USA,CA,San Francisco,1,Disney Accelerator:120000,1,-,-,-,-,-,-,-,San Francisco,2011,25.775163:-80.208615
Emotive Communications,Software,13.95,operating,USA,CA,San Francisco,2,BDMI:13950000.0|D.E. Shaw & Co.:13950000.0|Warner Music Group:7700000,3,-,-,-,-,-,-,-,San Francisco,2011,32.8153:-117.134993
Talentag,Management,0.07,operating,USA,CA,San Francisco,1,Ahti Heinla:70000|Taavi Lepmets:70000|Vitaly Rubstein:70000,3,-,-,-,-,-,-,-,San Francisco,2010,37.727239:-123.032229
Empact Solutions,Software,10,operating,USA,NY,New York,1,M/C Partners:10000000,1,-,-,-,-,-,-,-,New York,2000,37.727239:-123.032229
Empathetics,Education,1.5,operating,USA,MA,Boston,1,GDN Holdings:1500000|Key Venture Partners:1500000,2,-,-,-,-,-,-,-,Suffolk,2011,37.727239:-123.032229
Empire Genomics,Technology,1,operating,USA,NY,Buffalo,1,Rand Capital:1000000,1,-,-,-,-,-,-,-,Erie,2006,37.727239:-123.032229
Empire Robotics,Automation,1.796,operating,USA,MA,Boston,7,SoundBoard Angel Fund:466000,1,-,-,-,-,-,-,-,Suffolk,2012,40.664274:-73.9385
EmployeeReferrals.com,Technology,12,operating,USA,UT,Draper,2,AppleTree Capital:8000000|LAC:8000000|UA2 Angel Network:8000000,3,-,-,-,-,-,-,-,Salt Lake,2011,42.33196:-71.020173
EmployUs,Services,0.75,operating,USA,NC,Raleigh,1,Cofounders Capital:750000,1,-,-,-,-,-,-,-,Wake,2014,42.892492:-78.859686
Employyd.com,Services,1.5,operating,USA,NJ,Bridgewater,2,Mantra Information Services:750000,1,-,-,-,-,-,-,-,Somerset,2011,42.33196:-71.020173
Empow Studios,Education,0.018,operating,USA,MA,Lexington,1,LearnLaunchX:18000,1,-,-,-,-,-,-,-,Middlesex,2013,40.495191:-111.860651
EmpowrNet,Software,0.04,operating,USA,OK,Tulsa,1,i2E Immersion:40000,1,-,-,-,-,-,-,-,Tulsa,2010,35.830204:-78.641439
Empyrean Benefit Solutions,Software,51.185512,operating,USA,TX,Houston,2,FTV Capital:41185512,1,-,-,-,-,-,-,-,Harris,2006,-1
EmSense,Software,13,closed,USA,CA,San Francisco,2,Foundry Group:9000000|Technology Partners:9000000,2,-,-,-,-,-,-,-,San Francisco,2004,42.445743:-71.230909
Enablon,Software,15,operating,USA,IL,Chicago,1,Environmental Technologies Fund:15000000,1,-,-,-,-,-,-,-,Cook,2000,36.127949:-95.902316
Enanta Pharmaceuticals,Technology,21.2,ipo,USA,MA,Watertown,2,Advent International:12000000|Bioventures Investors:12000000|NIBC Capital Partners:12000000|Oxford Bioscience Partners:12000000|Swiss Life Private Equity Partners:12000000|Techno Venture Management:12000000|Wheatley MedTech Partners:12000000|Yasuda Enterprise Development:12000000,8,-,-,-,-,-,-,-,Middlesex,1998,29.780472:-95.386342
Encentiv Energy,Services,0.725,operating,USA,PA,Pittsburgh,5,Pittsburgh Equity Partners (PEP):300000,1,-,-,-,-,-,-,-,Allegheny,2009,37.727239:-123.032229
Encirq Corporation,Software,14,operating,USA,CA,Burlingame,1,Geneva Venture Partners:14000000|Itochu Technology Ventures:14000000|J.P. Morgan Securities Inc.:14000000|Menlo Ventures:14000000|Novus Ventures:14000000|Sunbridge Partners:14000000,6,-,-,-,-,-,-,-,San Mateo,1998,41.837551:-87.681844
Encoding.com,Software,8.25,operating,USA,CA,San Francisco,4,Harmonic:3500000|Metamorphic Ventures:8250000.0|Zelkova Ventures:4750000.0|Patrick Condon:2000000,4,-,-,-,-,-,-,-,San Francisco,2008,-1
"Encryptanet, Inc.",Manufacturing,4.75,operating,USA,CA,Newport Beach,1,Palomar Ventures:4750000|Sevin Rosen Funds:4750000,2,-,-,-,-,-,-,-,Orange,2005,40.439753:-79.976592
Encysive Pharmaceuticals,Technology,88.95,acquired,USA,TX,Houston,2,Azimuth Opportunity:75000000|Enable Capital Management:13950000|Hudson Capital Management:13950000,3,Pfizer,Biotechnology,USA,NY,New York,195000000,USD,Harris,1989,37.589952:-122.363342
Endeavor Commerce,Software,1.5,operating,USA,TX,Dallas,2,Green Peak Partners:500000,1,-,-,-,-,-,-,-,Dallas,2000,37.727239:-123.032229
Endeavor Energy,Technology,100,operating,USA,TX,Houston,1,Denham Capital:100000000,1,-,-,-,-,-,-,-,Harris,2013,33.596609:-117.887793
Ender Labs,Software,1.5,operating,USA,UT,Salt Lake City,1,Google Ventures:1500000|Zetta Venture Partners:1500000|Marc Benioff:1500000,3,-,-,-,-,-,-,-,Salt Lake,2012,29.780472:-95.386342
Enders Fund,Games,1.5,operating,USA,CA,San Francisco,1,Draper Associates:1500000|NHN Investment:1500000|Softbank Ventures Korea:1500000,3,-,-,-,-,-,-,-,San Francisco,2011,32.794176:-96.765503
Endgame,Software,86.25,operating,USA,VA,Arlington,3,Bessemer Venture Partners:86250000.0|Columbia Capital:86250000.0|Edgemore Capital:30000000|Kleiner Perkins Caufield & Byers:86250000.0|Paladin Capital Group:57250000.0|TechOperators:86250000.0|Top Tier Capital Partners:30000000,7,-,-,-,-,-,-,-,Loudoun,2008,29.780472:-95.386342
EndoChoice,Technology,115.489918,operating,USA,GA,Alpharetta,6,Accelmed:104488205.0|Deerfield Capital Management:57000000|Sequoia Capital:100000000.0,3,-,-,-,-,-,-,-,Fulton,2008,40.77852:-111.931414
Endocyte,Technology,94.1,ipo,USA,IN,West Lafayette,5,American Bailey Ventures:41000000.0|Blue Chip Venture Company:71000000.0|Burrill & Company:71000000.0|CID Capital:15000000|CID Equity Partners:30000000|MidCap Financial:15000000|Sanderling Ventures:71000000.0|Silicon Valley Bank:15000000|Triathlon Medical Venture Partners:71000000.0|Twilight Venture Partners:30000000,10,-,-,-,-,-,-,-,Tippecanoe,1996,37.727239:-123.032229
EndoEvolution,Health,8.3,operating,USA,MA,Raynham,2,Spring Bay Ventures:8300000.0,1,-,-,-,-,-,-,-,Bristol,2009,38.878337:-77.100703
EndoGastric Solutions,Health,247.545839,operating,USA,CA,San Mateo,17,Advanced Technology Ventures:157749914.0|Canaan Partners:135999914.0|Chicago Growth Partners:129859800.0|CRG:50000000|De Novo Ventures:30000000|DeNovo Ventures:109859800.0|Flare Capital Partners:102749914.0|Foundation Medical Partners:50000000|MPM Capital:51750000.0|Oakwood Medical Investors:76109800.0|Radius Ventures:135999914.0,11,-,-,-,-,-,-,-,San Mateo,2002,34.070648:-84.275907
Endorphin,Software,0.25,operating,USA,CA,San Francisco,1,The Untitled Venture Company:250000,1,-,-,-,-,-,-,-,San Francisco,2012,40.455245:-86.911825
ENDOTRONIX,Technology,7.535473,operating,USA,IL,East Peoria,6,JumpStart Inc.:250000,1,-,-,-,-,-,-,-,Tazewell,2007,-1
Endovention,Technology,1.5,operating,USA,CA,San Francisco,1,Signatures Capital:1500000|Bobby Yazdani:1500000,2,-,-,-,-,-,-,-,San Francisco,2005,37.56031:-122.3106
EndPlay,Marketing,21.5,operating,USA,CA,Los Angeles,1,Advanced Technology Ventures:21500000|VantagePoint Capital Partners:21500000,2,-,-,-,-,-,-,-,Los Angeles,2009,37.727239:-123.032229
Ener.co,Technology,2.55,operating,USA,NY,New York,4,Odin Trust of Bermuda:750000|SPK Partners:1200000,2,-,-,-,-,-,-,-,New York,2009,40.673377:-89.541764
Ener1,Manufacturing,20,closed,USA,NY,New York,1,ITOCHU Corporation:20000000,1,-,-,-,-,-,-,-,New York,1985,37.727239:-123.032229
EnerG2,Technology,12,operating,USA,WA,Seattle,2,Firelake Capital Management:8500000|OVP Venture Partners:8500000,2,-,-,-,-,-,-,-,King,2003,34.019394:-118.410825
Energid Technologies,Software,0.5,operating,USA,MA,Cambridge,2,National Science Foundation:500000,1,-,-,-,-,-,-,-,Middlesex,2002,40.664274:-73.9385
Energy,Software,2,operating,USA,SC,Charleston,1,3M New Ventures:2000000,1,-,-,-,-,-,-,-,Charleston,2001,40.664274:-73.9385
Energy and Power Solutions,Technology,50,operating,USA,CA,Trabuco Canyon,2,Altira Group:30000000|NGEN Partners:50000000.0|Robeco:50000000.0,3,-,-,-,-,-,-,-,Orange,2003,47.620499:-122.350876
Energy Curb,Services,2.25,operating,USA,TX,Austin,2,Capital Factory:1250000|strategic partners:1250000,2,-,-,-,-,-,-,-,Travis,2012,42.375967:-71.118275
Energy Excelerator,Technology,30,operating,USA,HI,Honolulu,1,Office of Naval Research (ONR):30000000,1,-,-,-,-,-,-,-,Honolulu,2010,32.817922:-79.958927
Energy Harvesters LLC,Technology,0.1,operating,USA,MA,Somerville,1,Dyco Electronics:100000,1,-,-,-,-,-,-,-,Middlesex,2011,-1
Energy Innovations,Services,16.5,closed,USA,CA,Pasadena,1,Idealab:16500000|Mohr Davidow Ventures:16500000,2,-,-,-,-,-,-,-,Los Angeles,2001,30.307182:-97.755996
Energy Points,Technology,3,operating,USA,MA,Boston,1,Plan B Ventures:3000000,1,-,-,-,-,-,-,-,Suffolk,2011,-1
Energy Solutions International,Technology,9.5,operating,USA,MN,Saint Paul,1,Triangle Capital Corporation:9500000|Inverness Graham Investments:2000000,2,-,-,-,-,-,-,-,Ramsey,1992,42.390566:-71.101324
Energy Storage Systems,Services,3.2,operating,USA,OR,Portland,2,Pangaea Ventures:3200000,1,-,-,-,-,-,-,-,Clackamas,2011,34.160592:-118.139593
EnergyChest,Finance,0.1,operating,USA,CA,San Francisco,1,Palermo Venture Capital:100000|Recoleta Ventures:100000,2,-,-,-,-,-,-,-,San Francisco,2013,42.33196:-71.020173
EnergySage,Technology,3.454626,operating,USA,MA,Boston,3,Clean Energy Venture Group:1500000|LaunchPad Venture Group:1500000|Massachusetts Clean Energy Center:1500000|New York Angels:1500000,4,-,-,-,-,-,-,-,Suffolk,2009,-1
EnergySavvy,Software,17.793058,operating,USA,WA,Seattle,7,"El Dorado Investment:8250000|Element 8:3950000.0|EnerTech Capital:8250000|Pivotal Investments:11500000.0|Prelude Ventures, LLC:8250000|Andy Liu:700000|Geoff Entress:700000|Karl Siebrecht:700000",8,-,-,-,-,-,-,-,King,2008,45.536951:-122.649971
EnergyWeb Solutions,Finance,0.1,operating,USA,PA,Allentown,1,AFC First Financial:100000,1,-,-,-,-,-,-,-,Lehigh,2004,37.727239:-123.032229
EnerNOC,Services,7.75,ipo,USA,MA,Boston,1,Braemar Energy Ventures:7750000|Draper Fisher Jurvetson (DFJ):7750000|Foundation Capital:7750000,3,-,-,-,-,-,-,-,Suffolk,2001,42.33196:-71.020173
EnerTech Environmental,Technology,42,operating,USA,GA,Atlanta,1,Masdar Clean Tech Fund:42000000|Sustainable Development Investments:42000000,2,-,-,-,-,-,-,-,Fulton,1992,47.620499:-122.350876
EnerVault,Technology,26,operating,USA,CA,Sunnyvale,3,Mitsui & Co. Global Investment:22500000.0|Oceanshore Ventures:26000000.0|TEL Venture Capital:22500000.0|Total Energy Ventures:15500000|US Invest:15500000,5,-,-,-,-,-,-,-,Santa Clara,2008,-1
Enervee,Software,5.4,operating,USA,CA,Santa Monica,4,Obvious Ventures:3700000,1,-,-,-,-,-,-,-,Los Angeles,2012,42.33196:-71.020173
Enevate,Technology,40,operating,USA,CA,Irvine,2,Mission Ventures:30000000|Presidio Ventures:30000000|Tsing Capital:30000000|Mike Lazaridis:30000000,4,-,-,-,-,-,-,-,Orange,2006,33.762909:-84.422675
enEvolv,Technology,1.794845,operating,USA,MA,Boston,1,Cultivian Sandbox Ventures:1794845,1,-,-,-,-,-,-,-,Suffolk,2011,37.385784:-122.026323
"Enfold, Inc.",Entertainment,7.5,operating,USA,MA,Wenham,1,Cherry Ventures:7500000,1,-,-,-,-,-,-,-,Essex,2010,34.023413:-118.481666
Engage.cx,Software,2.9,operating,USA,GA,Atlanta,1,David Trice:2900000|Eric Bleke:2900000,2,-,-,-,-,-,-,-,Fulton,2013,33.678399:-117.771254
Engagio,Finance,10,operating,USA,CA,San Mateo,1,FirstMark Capital:10000000,1,-,-,-,-,-,-,-,San Mateo,2015,42.33196:-71.020173
Engana Pty,Software,6.1,closed,USA,MN,Eveleth,1,Accede Capital:6100000|Intel Capital:6100000|Starfish Ventures:6100000|Technology Venture Partners:6100000,4,-,-,-,-,-,-,-,Saint Louis,2001,-1
Engineered Carbon Solutions,Technology,0.15,operating,USA,CT,Norwich,1,Joel Douglas:150000|Michael Curtis:150000,2,-,-,-,-,-,-,-,New London,2013,33.762909:-84.422675
Engine Yard,Software,37.5,operating,USA,CA,San Francisco,4,Amazon:34000000.0|Bay Partners:19000000|Benchmark:37500000.0|DAG Ventures:19000000|New Enterprise Associates:34000000.0|Presidio Ventures:19000000,6,-,-,-,-,-,-,-,San Francisco,2006,37.56031:-122.3106
Engiver,Finance,0.04,operating,USA,GA,Atlanta,1,Start-Up Chile:40000,1,-,-,-,-,-,-,-,Fulton,2011,47.473317:-92.548871
EnglishCentral,Education,13.954577,operating,USA,MA,Arlington,4,Atlas Venture:10477000.0|Google Ventures:8477000.0|NTT Finance:7100000|SK Telecom Ventures:7100000|Stonebridge Capital:7100000|Valor Capital Group:2000000,6,-,-,-,-,-,-,-,Middlesex,2008,41.54786:-72.089488
"EnhanceWorks, Inc.",Software,0.3,operating,USA,TN,Nashville,1,Flashpoint at Georgia Tech:300000,1,-,-,-,-,-,-,-,Davidson,2013,37.727239:-123.032229
Enhatch,Hardware,0.25,operating,USA,NJ,Hoboken,3,Peter Verrillo:250000,1,-,-,-,-,-,-,-,Hudson,2012,33.762909:-84.422675
Enigma Semiconductor,Hardware,12.5,closed,USA,CA,Santa Clara,1,Innovations Kapital:12500000|Northzone:12500000|Startup Factory:12500000|TVM Capital:12500000|Vækstfonden:12500000,5,-,-,-,-,-,-,-,Santa Clara,2001,42.418722:-71.163912
Enigma Technologies,Software,34.615,operating,USA,NY,New York,4,"American Express Ventures:32700000.0|Comcast Ventures:32700000.0|Crosslink Capital:5600000.0|Expansion Venture Capital:4500000|New Enterprise Associates:28200000|New York City Investment Fund:28200000|The New York Times:32700000.0|TriplePoint Capital:1100000|Two Sigma Ventures:28200000|Brent Hurley:1100000|Edgar Bronfman, Jr:815000|Matthew Bronfman:815000|Matthew Glass:1100000|Paul Sethi:815000|Scott Cohen:815000|Strauss Zelnick:1100000",16,-,-,-,-,-,-,-,New York,2011,36.1718:-86.785002
Enjoy,Technology,80,operating,USA,CA,Menlo Park,2,Andreessen Horowitz:30000000|Highland Capital Partners:50000000|Kleiner Perkins Caufield & Byers:80000000.0|Oak Investment Partners:80000000.0,4,-,-,-,-,-,-,-,San Mateo,2014,40.745251:-74.027926
Enkata Technologies,Software,17.28,operating,USA,CA,San Mateo,3,Apex Venture Partners:12880000.0|ComVentures:9280000.0|Sigma Partners:17280000.0|David Stamm:4400000,4,-,-,-,-,-,-,-,San Mateo,1999,37.364613:-121.967934
